[12:42:16] INFO     Server listening on 192.168.1.46:5000
[12:43:14] INFO     Guest6145 joined the chat
[12:43:18] INFO     <Guest6145> 
[12:43:18] INFO     <Guest6145> 
[12:43:18] INFO     <Guest6145> 
[12:43:19] INFO     <Guest6145> 
[12:43:19] INFO     <Guest6145> 
[12:43:22] INFO     <Guest6145> hi
[12:43:42] INFO     Lord joined the chat
[12:43:44] INFO     <Lord> 
[12:43:44] INFO     <Lord> 
[12:43:50] INFO     <Lord> creat
[12:44:09] INFO     <Lord> \creat
[12:45:42] INFO     Lord left the chat
